;Codigo;Nome;Preco R$;VolumeMedio;DividendYield %;PatrimonioLiq R$;P/VP;Cotas;Segmento;Valorizacao12Meses
CEOC11;CEOC11;FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES; 85,02;1.266;0,64; 160.000;0,96;850.813;Lajes Corporativas;0.07
CPTS11B;CPTS11B;CAPITANIA SECURITIES II FDO INV IMOB - FII; 99,99;3.125;0,67; 150.000;1,03;500.000;Títulos e Val. Mob.;-0.02
CTXT11;CTXT11;FDO INV IMOB CENTRO TEXTIL INTERNACIONAL; 62,00;513;0,57; 120.000;1,30;12.000.000;Lajes Corporativas;-0.01
CXCE11B;CXCE11B;FDO INV IMOB CAIXA CEDAE; 2.397,00;30;0,83; 140.000;1,14;68.518;Outros;-0.08
CXRI11;CXRI11;CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII; 1.005,02;84;0,69; 170.000;0,92;157.576;Híbrido;-0.01
CXTL11;CXTL11;FDO INV IMOB CAIXA TRX LOGÍSTICA RENDA; 440,00;30;0,18; 38.000;0,62;53.597;Logística;-0.27
DMAC11;DMAC11;MAC FDO INV IMOB; 681,00;329;0,77; 210.000;0,51;156.108;Residencial;0.0
DOMC11;DOMC11;DOMO FDO INV IMOB - FII; 495,99;71;0,00; 240.000;0,50;175.000;Lajes Corporativas;0.0
DRIT11B;DRIT11B;MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII; 189,00;9;0,34; 58.000;1,51;20.000;Lajes Corporativas;0.03
EDFO11B;EDFO11B;FDO INV IMOB EDIFÍCIO OURINVEST; 298,01;45;0,58; 44.000;1,61;236.000;Lajes Corporativas;0.04
EURO11;EURO11;FDO INV IMOB EUROPAR; 152,40;234;0,39; 120.000;0,48;440.000;Logística;0.03
FAMB11B;FAMB11B;FDO INV IMOB - FII EDIFÍCIO A.000RANTE BARROSO; 2.550,00;100;1,14; 330.000;0,80;104.800;Lajes Corporativas;-0.31
FCFL11;FCFL11;FDO INV IMOB - FII CAMPUS FARIA LIMA; 2.128,61;71;0,55; 300.000;1,18;167.000;Outros;0.15
FFCI11;FFCI11;FDO INV IMOB RIO BRAVO RENDA CORPORATIVA; 167,99;3.577;0,30; 370.000;0,98;38.810.000;Lajes Corporativas;-0.03
FIGS11;FIGS11;FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII; 69,16;10.404;1,19; 250.000;0,72;2.591.500;Shoppings;0.02
FIIB11;FIIB11;FDO INV IMOB INDUSTRIAL DO BRASIL; 448,39;1.571;0,59; 270.000;1,15;664.516;Híbrido;-0.0
FIIP11B;FIIP11B;RB CAPITAL RENDA I FDO INV IMOB - FII; 193,00;663;0,64; 180.000;1,00;100;Logística;0.08
FIVN11;FIVN11;FDO INV IMOB VIDA NOVA - FII; 2,90;683;0,00; 82.000;0,33;9.412.630;Shoppings;-0.07
FIXX11;FIXX11;FATOR IFIX FDO INV IMOB - FII; 81,57;438;0,47; 34.000;0,88;365.972;Títulos e Val. Mob.;-0.03
FLMA11;FLMA11;FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA; 3,50;35.560;0,39; 200.000;1,21;69.033.500;Híbrido;0.09
FLRP11;FLRP11;FDO INV IMOB - FII FLORIPA SHOPPING; 1.280,00;29;0,45; 74.000;0,96;48.000;Shoppings;-0.06
FMOF11;FMOF11;FDO INV IMOB MEMORIAL OFFICE; 83,49;208;0,00; 68.000;0,63;508.008;Lajes Corporativas;0.01
FOFT11;FOFT11;CSHG TOP FOFII 2 FDO INV IMOB - FII; 91,80;261;0,60; 110.000;0,96;119.604;Títulos e Val. Mob.;0.31
FPAB11;FPAB11;FDO INV IMOB PROJETO ÁGUA BRANCA; 350,00;60;0,51; 280.000;0,94;750.000;Lajes Corporativas;0.08
FVPQ11;FVPQ11;FDO INV IMOB VIA PARQUE SHOPPING - FII; 185,00;1.763;0,53; 520.000;0,98;2.120.589;Shoppings;0.04
GGRC11;GGRC11;GGR COVEPI RENDA FDO INV IMOB; 131,15;25.338;0,51; 750.000;1,13;1.413.807;Logística;0.02
GRLV11;GRLV11;CSHG GR LOUVEIRA FDO DE INV IMOB - FII; 111,26;3.483;0,58; 120.000;0,98;107.353;Logística;-0.04
HBTT11;HBTT11;FDO INV IMOB HABITAT I; 1.150,00;10;0,83; 170.000;0,88;66.567;Outros;0.2
HFOF11;HFOF11;HEDGE TOP FOFII 3 FDO INV IMOB; 102,00;8.433;1,22; 240.000;1,04;2.208.467;Títulos e Val. Mob.;-0.01
HGBS11;HGBS11;CSHG BRASIL SHOPPING - FDO INV IMOB - FII; 251,00;9.184;0,55; 1,2 bi;1,12;45.000;Shoppings;-0.03
HGCR11;HGCR11;CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII; 114,30;16.251;0,59; 270.000;1,09;30.000;Títulos e Val. Mob.;-0.0
HGJH11;HGJH11;CSHG JHSF PRIME OFFICES FDO INV IMOB - FII; 184,50;1.165;0,44; 250.000;1,23;165.000;Lajes Corporativas;0.28
HGLG11;HGLG11;CSHG LOGÍSTICA FDO INV IMOB - FII; 148,42;10.614;0,48; 950.000;1,23;7.881.340;Logística;0.03
